"name";"dir";"extension";"size";"mtime_datetime";"ctime_datetime";"atime_datetime";"path_length";"path_depth";"owner"
"Project_KAM-Alpha_Scope.tar.gz";"C:\share\Job1\Rechtsabteilung\Technologie-Cloud-und-Infrastruktur";".gz";"896000";"10.05.2023 08:17:00";"22.06.2018 07:43:00";"21.06.2024 00:59:00";"96";"5";""
"IT_Ticket_TKT01234_Security.tar.gz";"C:\share\Job7\Abteilung-Security-Operations\Abteilung-Security-Operations-Finanzen-Vertragswesen-und-Einkauf\Product-Management-Produktstrategie-Roadmap-Backlog-Premium-Suite\Lieferant-Cloud-Provider-Rahmenvertrag-2022-Bestellungen-Lieferscheine-Rechnungen-Q1\Strategieentwicklung-H1-2024-MaÃŸnahmenplanung-Umsetzungskontrolle-Reporting\Windows-Team-AD-M365-Endpoint-Management-M365-Tenant";".gz";"896000";"19.06.2019 22:52:00";"17.12.2016 19:06:00";"22.05.2025 17:34:00";"424";"9";""
"RnD_Prototype_Phoenix_v3.0.zip";"C:\share\Job9\Team-Linux\Vertrieb-und-Marketing-Customer-Success";".zip";"896000";"06.06.2020 04:21:00";"25.04.2020 00:28:00";"27.02.2025 10:49:00";"95";"5";""
"Salary_Overview_RnD_Mar.tar.gz";"C:\share\Job9\Team-Azure\Team-Azure-Technologie-Softwareentwicklung";".gz";"894976";"16.08.2023 08:08:00";"09.12.2022 02:45:00";"17.01.2025 16:07:00";"98";"5";""
"Project_DEV-Phoenix_Specs.zip";"C:\share\Job9\Team-Project-Control\Technologie-Cloud-und-Infrastruktur\Sustainability-Team-Nachhaltigkeitsberichte-Umweltprojekte-CO2-Reduktion\Cloud-Infrastructure-Azure-Team-2022-Projekte\Compliance-Office-Audits-Zertifizierungen-Policies-DSGVO\Process-Automation-Workflow-RPA-Approval-Workflow";".zip";"893952";"01.05.2019 11:10:00";"13.08.2017 10:54:00";"17.07.2020 09:55:00";"326";"9";""
"Project_DEV-Phoenix_Specs.tar.gz";"C:\share\Job9\Team-Supplier-Management\Facility-und-Workplace-Management";".gz";"893952";"29.01.2023 09:03:00";"07.05.2017 21:12:00";"24.08.2023 05:57:00";"105";"5";""
"Project_KAM-Alpha_Scope.zip";"C:\share\Job3\Bereich-Netzbetrieb\Betrieb-und-Projekte-Netzbetrieb\HR-Admin-Team-Vertragsverwaltung-Datenpflege-Fuehrungskraefte\Sales-Operations-CRM-Kundenmanagement-SMB\Datenschutz-DSGVO-Verzeichnis-Verarbeitungstaetigkeiten-IT-Dokumentation\Sustainability-Team-Nachhaltigkeitsberichte-Umweltprojekte-Kreislaufwirtschaft";".zip";"893952";"15.09.2024 00:25:00";"25.05.2023 15:58:00";"28.07.2025 13:47:00";"350";"9";""
"Customer_CUST2002_Contract.tar.gz";"C:\share\Job2\Assistenz-der-Geschaeftsfuehrung\Technologie-Network-Engineering";".gz";"893952";"14.12.2022 05:12:00";"14.12.2010 09:18:00";"21.06.2023 01:07:00";"112";"5";""
"HR_Onboarding_EMP123_Becker.tar.gz";"C:\share\Job3\Bereich-Cloud-und-Platform-Services\Bereich-Cloud-und-Platform-Services-Technologie-Network-Engineering";".gz";"893952";"23.08.2018 07:12:00";"04.05.2016 20:38:00";"12.10.2019 04:20:00";"152";"5";""
"Customer_CUST2002_Contract.tar.gz";"C:\share\Job1\03-CTO-Technologie-und-IT\Vertrieb-und-Marketing-B2B-B2C-Kanaele";".gz";"892928";"04.07.2020 01:42:00";"13.10.2019 10:11:00";"30.04.2024 04:21:00";"112";"5";""
"Salary_Overview_Sales_Dec.tar.gz";"C:\share\Job9\Team-SOC\Team-SOC-Technologie-Cloud-und-Infrastruktur";".gz";"892928";"06.03.2024 17:47:00";"17.04.2023 09:23:00";"24.04.2024 14:36:00";"100";"5";""
"IT_Ticket_TKT00789_Hardware.tar.gz";"C:\share\Job7\Abteilung-Data-Engineering\Abteilung-Data-Engineering-Betrieb-und-Projekte-Prozessmanagement";".gz";"891904";"17.09.2024 17:43:00";"16.12.2023 16:47:00";"16.05.2025 06:48:00";"141";"5";""
"Employee_Becker_Oscar_Resume.zip";"C:\share\Job6\Abteilung-HR-Services\Abteilung-HR-Services-Finanzen-Rechnungswesen-und-Buchhaltung";".zip";"891904";"21.03.2021 11:46:00";"29.05.2018 09:42:00";"02.09.2024 08:59:00";"130";"5";""
"Meeting_Minutes_Planning_2024-09-05.zip";"C:\share\Job4\Bereich-Marketing\Sicherheit-Cyber-Defense-SOC";".zip";"890880";"05.05.2018 02:26:00";"30.08.2016 04:14:00";"30.04.2022 12:25:00";"100";"5";""
"Operations_SOP_SOP456.zip";"C:\share\Job5\Bereich-Digital-Transformation\Bereich-Digital-Transformation-Sicherheit-IT-Security-Management";".zip";"889856";"17.03.2025 15:43:00";"17.03.2011 04:05:00";"18.03.2025 18:23:00";"135";"5";""
"Annual_Report_2024.tar.gz";"C:\share\Job1\03-CTO-Technologie-und-IT\People-und-Culture-Talent-Acquisition";".gz";"889856";"28.10.2025 15:58:00";"09.09.2025 17:53:00";"07.11.2025 18:01:00";"103";"5";""
"Sales_Forecast_Q1_2023.tar.gz";"C:\share\Job10\Team-HR-Admin\Team-HR-Admin-Digital-Transformation-Prozessdigitalisierung";".gz";"889856";"11.06.2018 15:37:00";"27.02.2018 01:43:00";"29.05.2020 23:29:00";"118";"5";""
"Project_KAM-Alpha_Scope.tar.gz";"C:\share\Job2\ESG-und-Nachhaltigkeit\ESG-und-Nachhaltigkeit-Technologie-Cloud-und-Infrastruktur";".gz";"889856";"23.03.2023 20:55:00";"17.04.2022 15:52:00";"05.04.2025 03:07:00";"126";"5";""
"Employee_Resume_Smith.zip";"C:\share\Job6\Abteilung-Procurement\Abteilung-Procurement-Technologie-Cloud-und-Infrastruktur";".zip";"888832";"19.06.2023 19:17:00";"21.09.2022 16:27:00";"15.09.2024 20:44:00";"119";"5";""
"Support_Case_CASE999_Critical.zip";"C:\share\Job3\GB-Kundenerlebnis-und-Support\Sicherheit-IT-Security-Management";".zip";"888832";"17.12.2024 20:53:00";"03.10.2024 01:36:00";"04.01.2025 22:02:00";"111";"5";""
"Meeting_Minutes_Planning_2024-09-05.zip";"C:\share\Job5\Bereich-Facility-und-Workplace\Technologie-Softwareentwicklung";".zip";"888832";"17.07.2023 03:47:00";"17.07.2011 00:54:00";"20.05.2024 10:47:00";"116";"5";""
"Annual_Report_2024.tar.gz";"C:\share\Job2\GB-Finanzen-und-Verwaltung\Technologie-IT-Operations";".gz";"887808";"17.11.2024 15:30:00";"18.10.2023 04:58:00";"27.09.2025 13:37:00";"92";"5";""
"Operations_SOP_SOP001.zip";"C:\share\Job2\GB-Betrieb-und-Projekte\Facility-und-Workplace-Management\Digital-Marketing-SEO-Social-Media-Fruehjahrsaktion-2024-2023\IT-Helpdesk-Benutzersupport-Geraetemanagement-L3-Escalation\Cloud-Infrastructure-Azure-Team-2025-Projekte\DataOps-Team-Pipelines-Monitoring-ETL-Pipeline-SAP\Project-Control-Team-Terminplanung-Risikomanagement-Go-Live";".zip";"887808";"25.09.2025 16:54:00";"10.09.2025 12:01:00";"30.09.2025 20:45:00";"376";"10";""
"Project_DEV-Phoenix_Specs.tar.gz";"C:\share\Job10\Team-QA-Automation\Team-QA-Automation-Technologie-IT-Operations";".gz";"887808";"03.02.2025 06:37:00";"09.11.2022 08:37:00";"29.04.2025 04:43:00";"111";"5";""
"Annual_Report_2024.zip";"C:\share\Job10\Team-HR-Admin\Team-HR-Admin-Digital-Transformation-Prozessdigitalisierung";".zip";"886784";"25.11.2023 02:23:00";"25.10.2023 16:51:00";"02.03.2024 04:39:00";"111";"5";""
"Meeting_Minutes_Team_2024-06-10.tar.gz";"C:\share\Job9\Team-Windows\Team-Windows-People-und-Culture-Talent-Acquisition";".gz";"886784";"16.05.2023 13:43:00";"15.07.2022 17:44:00";"06.06.2023 16:10:00";"116";"5";""
"Training_Material_Leadership_Advanced.tar.gz";"C:\share\Job3\Bereich-Netzbetrieb\People-und-Culture-Learning-und-Development";".gz";"885760";"13.11.2020 19:05:00";"13.11.2010 16:24:00";"13.03.2025 12:04:00";"122";"5";""
"Budget_Plan_Admin_FY2023.zip";"C:\share\Job5\Abteilung-Cloud-Infrastructure\Finanzen-Vertragswesen-und-Einkauf";".zip";"884736";"29.12.2015 08:11:00";"25.09.2014 05:03:00";"18.04.2019 11:09:00";"108";"5";""
"Meeting_Minutes_Team_2024-09-05.tar.gz";"C:\share\Job5\Bereich-Legal-Affairs\People-und-Culture-Learning-und-Development\Datenschutz-DSGVO-Verzeichnis-Verarbeitungstaetigkeiten-Einkauf-Dokumentation\Personal-Mitarbeiter-Auszubildende-Schulung-Leadership-Development-Teilnahmebestaetigung\IT-Projekt-E-Commerce-Platform-Phase-Implementation-Technische-Spezifikation-Production\QA-Automation-Testskripte-Regression-API-Tests\Training-und-Awareness-Security-Schulungen-Data-Protection\Customer-Support-1st-2nd-Level-Tickets-2024-Juli\Talent-Development-Schulungen-Onboarding-Coaching-Compliance-Schulung";".gz";"883712";"05.04.2024 10:18:00";"12.02.2023 22:21:00";"28.07.2025 07:48:00";"598";"12";""
"Project_KAM-Beta_Specs.zip";"C:\share\Job2\GB-Finanzen-und-Verwaltung\Technologie-IT-Operations";".zip";"883712";"01.01.2024 09:20:00";"18.04.2023 07:27:00";"12.07.2025 10:58:00";"93";"5";""
"Operations_SOP_SOP123.zip";"C:\share\Job10\Team-Product-Owners\Sicherheit-Cyber-Defense-SOC";".zip";"883712";"13.08.2022 01:42:00";"17.09.2018 02:09:00";"27.02.2023 15:12:00";"89";"5";""
"Customer_Contract.zip";"C:\share\Job6\Abteilung-Service-Desk\Vertrieb-und-Marketing-Kampagnen";".zip";"882688";"02.01.2025 01:26:00";"17.11.2021 14:39:00";"22.07.2025 02:41:00";"91";"5";""
"Finance_Audit_2025_Q4.zip";"C:\share\Job9\Team-Supplier-Management\Team-Supplier-Management-Technologie-Softwareentwicklung";".zip";"882688";"16.06.2024 04:55:00";"10.06.2022 00:22:00";"09.07.2024 14:12:00";"121";"5";""
"Customer_CUST4004_Contract.tar.gz";"C:\share\Job9\Team-Finance-Reporting\Team-Finance-Reporting-Finanzen-Rechnungswesen-und-Buchhaltung";".gz";"882688";"10.10.2024 07:37:00";"14.11.2022 20:57:00";"29.01.2025 06:57:00";"133";"5";""
"RnD_Prototype_Neptune_alpha.tar.gz";"C:\share\Job3\Bereich-Projektmanagement\Betrieb-und-Projekte-Netzbetrieb";".gz";"881664";"05.08.2025 17:18:00";"03.05.2025 18:08:00";"26.09.2025 07:29:00";"107";"5";""
"Annual_Report_2024.zip";"C:\share\Job6\Abteilung-Customer-Support\Sicherheit-Cyber-Defense-SOC";".zip";"880640";"02.03.2024 00:02:00";"26.06.2022 15:42:00";"08.05.2024 08:16:00";"92";"5";""
"Annual_Report_2024.tar.gz";"C:\share\Job7\Abteilung-Talent-Development\Abteilung-Talent-Development-Finanzen-Vertragswesen-und-Einkauf";".gz";"880640";"21.07.2019 04:45:00";"28.06.2019 15:20:00";"21.07.2025 03:08:00";"132";"5";""
"Finance_Audit_2024_Q2.zip";"C:\share\Job2\GB-Technologie\GB-Technologie-Data-und-Analytics-BI-KI-Governance";".zip";"877568";"21.05.2024 20:15:00";"15.03.2023 08:02:00";"03.04.2025 20:52:00";"105";"5";""
"Invoice_2024_1001.zip";"C:\share\Job5\Abteilung-Cloud-Infrastructure\Abteilung-Cloud-Infrastructure-Betrieb-und-Projekte-Prozessmanagement";".zip";"876544";"11.07.2017 08:17:00";"13.12.2013 07:43:00";"27.03.2021 00:59:00";"136";"5";""
"Legal_Agreement_NDA_GlobalTech.zip";"C:\share\Job8\Abteilung-QA-und-Testing\Betrieb-und-Projekte-Prozessmanagement";".zip";"876544";"12.05.2024 03:35:00";"08.12.2022 21:14:00";"15.08.2025 04:25:00";"112";"5";""
"HR_Onboarding_EMP001_Schulz.zip";"C:\share\Job3\Bereich-IT-Security-Management\Bereich-IT-Security-Management-People-und-Culture-HR-Operations";".zip";"875520";"09.07.2021 06:07:00";"06.11.2020 09:14:00";"12.08.2025 11:58:00";"140";"5";""
"Finance_Audit_2025_Q3.zip";"C:\share\Job3\GB-Sicherheit-und-Compliance\GB-Sicherheit-und-Compliance-People-und-Culture-Learning-und-Development";".zip";"875520";"29.04.2025 03:46:00";"03.02.2025 05:32:00";"26.06.2025 02:28:00";"141";"5";""
"Legal_Agreement_SLA_FastRetail.zip";"C:\share\Job5\Bereich-Legal-Affairs\Data-und-Analytics-BI-KI-Governance";".zip";"874496";"21.03.2019 01:52:00";"18.04.2016 13:17:00";"21.10.2023 01:00:00";"106";"5";""
"HR_Onboarding_EMP789_Meyer.zip";"C:\share\Job8\Abteilung-Incident-Response\Technologie-Cloud-und-Infrastruktur";".zip";"873472";"16.05.2025 11:49:00";"12.09.2024 06:04:00";"24.08.2025 20:17:00";"108";"5";""
"IT_Ticket_TKT01234_Software.zip";"C:\share\Job6\Abteilung-HR-Services\Digital-Transformation-Prozessdigitalisierung";".zip";"872448";"24.04.2025 11:24:00";"31.01.2024 03:37:00";"03.10.2025 19:20:00";"113";"5";""
"IT_Ticket_TKT00456_Network.zip";"C:\share\Job6\Abteilung-Procurement\Technologie-Network-Engineering";".zip";"872448";"02.11.2020 12:13:00";"03.11.2011 09:16:00";"01.11.2023 03:42:00";"98";"5";""
"PurchaseOrder_PO2222.tar.gz";"C:\share\Job7\Abteilung-Data-Engineering\Finanzen-Rechnungswesen-und-Buchhaltung";".gz";"871424";"26.05.2017 17:46:00";"27.05.2011 03:49:00";"04.08.2020 05:22:00";"108";"5";""
"Budget_Plan_Sales_FY2024.tar.gz";"C:\share\Job7\Abteilung-Data-Engineering\Abteilung-Data-Engineering-People-und-Culture-HR-Operations";".gz";"871424";"23.06.2023 16:53:00";"05.01.2023 18:49:00";"07.06.2024 04:52:00";"132";"5";""
"Contract_Addendum_CNT123_R3.zip";"C:\share\Job7\Abteilung-Office-Management\Vertrieb-und-Marketing-B2B-B2C-Kanaele";".zip";"871424";"12.10.2022 18:20:00";"20.08.2019 22:00:00";"05.03.2023 22:17:00";"112";"5";""
"Invoice_2022_1002.tar.gz";"C:\share\Job5\Abteilung-Controlling\Data-und-Analytics-BI-KI-Governance";".gz";"871424";"21.05.2023 06:36:00";"19.05.2022 11:10:00";"06.02.2025 05:20:00";"96";"5";""
"Project_KAM-Alpha_Scope.tar.gz";"C:\share\Job3\Bereich-IT-Security-Management\Vertrieb-und-Marketing-B2B-B2C-Kanaele";".gz";"871424";"23.09.2025 10:29:00";"01.01.2024 23:27:00";"30.09.2025 03:58:00";"114";"5";""
"Invoice_2023_1003.zip";"C:\share\Job1\05-CHRO-Personal-und-Kultur\Betrieb-und-Projekte-Projektmanagement\Finance-Reporting-Team-Finanzberichte-Dashboards-FY-2024\Security-Operations-SIEM-Patchmanagement-Ueberwachung\Produktentwicklung-Economy-Line-Version-Sprint-05-Testberichte-Systemtests-Ergebnisse\CRM-Team-Datenpflege-Prozessoptimierung-Lead-Management\Finance-Reporting-Team-Finanzberichte-Dashboards-Q2-2024\Legal-Review-Team-Vertragspruefung-Dokumentation-Lizenzvertrag\QA-Testing-Qualitaetssicherung-Regression-Integrationstests\Office-Management-Organisation-Fuhrpark-Poststelle-Hamburg";".zip";"871424";"18.07.2023 00:05:00";"27.06.2022 23:49:00";"16.09.2025 21:02:00";"594";"13";""
"Operations_SOP_SOP045.zip";"C:\share\Job9\Team-SOC\Team-SOC-Data-und-Analytics-BI-KI-Governance";".zip";"871424";"03.06.2024 20:34:00";"03.06.2011 02:04:00";"19.06.2025 10:57:00";"93";"5";""
"Project_KAM-Alpha_Scope.tar.gz";"C:\share\Job1\02-CFO-Finanzen-und-Controlling\Facility-und-Workplace-Management";".gz";"870400";"07.02.2025 15:18:00";"21.01.2025 10:37:00";"12.08.2025 22:59:00";"110";"5";""
"Budget_Plan_IT_FY2025.zip";"C:\share\Job5\Bereich-Data-und-Analytics\Technologie-Softwareentwicklung\Forschung-Computer-Vision-Versuchsreihe-Performance-Tests-Messdaten-Auswertung\IT-Projekt-Data-Warehouse-Phase-Go-Live-Technische-Spezifikation-Staging\Training-Team-Trainingsprogramme-E-Learning-Onboarding-Program\Product-Owners-Backlogpflege-Sprintplanung-Sprint-02\Analytics-Team-Data-Visuals-Forecasting-Customer-Churn\Field-Operations-Ausseneinsaetze-Zentral-Q1\Product-Owners-Backlogpflege-Sprintplanung-Sprint-03\Product-Owners-Backlogpflege-Sprintplanung-Sprint-03";".zip";"870400";"23.09.2023 06:36:00";"20.12.2022 19:54:00";"07.06.2025 09:51:00";"571";"13";""
"Sales_Forecast_Q2_2021.tar.gz";"C:\share\Job4\Bereich-Rechnungswesen\Bereich-Rechnungswesen-Finanzen-Rechnungswesen-und-Buchhaltung";".gz";"869376";"13.08.2020 15:48:00";"08.08.2016 06:45:00";"18.03.2021 08:13:00";"129";"5";""
"Invoice_2022_2105.zip";"C:\share\Job3\Bereich-Netzbetrieb\Bereich-Netzbetrieb-Technologie-Cloud-und-Infrastruktur";".zip";"869376";"06.09.2024 02:03:00";"08.09.2022 21:14:00";"11.08.2025 03:22:00";"111";"5";""
"Project_KAM-Alpha_Scope.tar.gz";"C:\share\Job9\Team-Linux\People-und-Culture-Learning-und-Development";".gz";"869376";"09.08.2024 16:28:00";"01.12.2021 00:22:00";"08.09.2024 07:28:00";"99";"5";""
"Employee_Meyer_Oscar_Resume.tar.gz";"C:\share\Job6\Abteilung-HR-Services\Abteilung-HR-Services-Finanzen-Rechnungswesen-und-Buchhaltung";".gz";"868352";"19.04.2021 10:58:00";"15.08.2017 01:23:00";"20.04.2025 21:20:00";"132";"5";""
"Employee_Schulz_Oscar_Resume.zip";"C:\share\Job8\Abteilung-DevOps\Finanzen-Finanzmanagement-Controlling";".zip";"867328";"27.07.2024 03:41:00";"15.02.2023 22:32:00";"13.01.2025 08:03:00";"101";"5";""
"Customer_Contract.tar.gz";"C:\share\Job6\Abteilung-Digital-Marketing\Abteilung-Digital-Marketing-People-und-Culture-Talent-Acquisition\Lieferant-IT-Services-GmbH-Rahmenvertrag-2023-Bestellungen-Lieferscheine-Rechnungen-Q1\Field-Operations-Ausseneinsaetze-Nord-Q3\Sales-Operations-CRM-Kundenmanagement-Healthcare\Standort-Hamburg-Gebaeude-Internal-Network-Infrastruktur-Wartung-Dokumentation-2025\Qualitaetssicherung-TISAX-Zertifizierung-2020-Pruefberichte-Massnahmenkatalog\Produktentwicklung-Premium-Serie-Version-Sprint-01-Testberichte-Performance-Tests-Ergebnisse\AI-und-Automation-KI-Projekte-Machine-Learning-Chatbot-Assistant";".gz";"866304";"09.02.2023 00:24:00";"29.02.2016 23:42:00";"17.06.2025 17:19:00";"629";"12";""
"Salary_Overview_HR_Nov.tar.gz";"C:\share\Job10\Team-CRM\Team-CRM-Betrieb-und-Projekte-Projektmanagement";".gz";"865280";"25.10.2024 00:09:00";"25.11.2023 07:17:00";"07.03.2025 18:59:00";"101";"5";""
"RnD_Prototype_Phoenix_v3.0.tar.gz";"C:\share\Job8\Abteilung-Infrastructure-Services\Abteilung-Infrastructure-Services-Data-und-Analytics-BI-KI-Governance\Qualitaetssicherung-TISAX-Zertifizierung-2023-Pruefberichte-Massnahmenkatalog\Process-Automation-Workflow-RPA-Reporting-Process\Network-Team-Routing-Firewall-VPN-DMZ\Application-Development-Enterprise-Edition-Sprint-Sprint-03\SOC-Team-Security-Monitoring-Forensik-Vulnerability-Scan\Security-Operations-SIEM-Patchmanagement-Ueberwachung";".gz";"865280";"02.08.2023 00:34:00";"17.06.2023 23:10:00";"15.09.2023 18:57:00";"488";"11";""
"Customer_Contract.tar.gz";"C:\share\Job2\Assistenz-der-Geschaeftsfuehrung\Technologie-Network-Engineering";".gz";"864256";"10.07.2017 02:07:00";"12.07.2013 13:26:00";"20.01.2020 04:51:00";"103";"5";""
"RnD_Prototype_Titan_beta.zip";"C:\share\Job6\Abteilung-Key-Account-Management\Finanzen-Rechnungswesen-und-Buchhaltung";".zip";"864256";"29.03.2015 16:05:00";"20.12.2012 16:21:00";"14.08.2018 22:25:00";"115";"5";""
"Sales_Forecast_Q1_2025.zip";"C:\share\Job7\Abteilung-Talent-Development\Abteilung-Talent-Development-Finanzen-Vertragswesen-und-Einkauf\IT-Projekt-Data-Warehouse-Phase-Go-Live-Technische-Spezifikation-Development\Supplier-Management-Team-Lieferantenbewertung-Hardware-Lieferant-AG\Marketing-Material-Fruehjahrsaktion-2024-Medien-2022-Regionale-Anpassungen-Zentral\Recruiting-Bewerbungsmanagement-Interviews-Product-Manager-2023\Risk-Management-Risikobewertung-Audits-Operational-Risk";".zip";"863232";"18.10.2023 14:48:00";"11.06.2022 00:54:00";"23.06.2024 02:01:00";"481";"10";""
"Budget_Plan_Finance_FY2025.zip";"C:\share\Job7\Abteilung-Solution-Architecture\People-und-Culture-Learning-und-Development";".zip";"863232";"19.05.2024 21:14:00";"19.04.2024 17:26:00";"07.07.2025 03:41:00";"120";"5";""
"Meeting_Minutes_Board_2024-09-05.zip";"C:\share\Job3\Bereich-IT-Security-Management\Technologie-Softwareentwicklung";".zip";"863232";"21.01.2024 02:11:00";"30.03.2023 10:56:00";"29.04.2025 15:46:00";"113";"5";""
"Training_Material_CyberSecurity_Advanced.tar.gz";"C:\share\Job10\Team-HR-Admin\Technologie-IT-Operations";".gz";"862208";"09.01.2020 07:01:00";"24.11.2019 08:06:00";"31.05.2025 04:36:00";"102";"5";""
"Annual_Report_2024.zip";"C:\share\Job10\Team-Governance\Team-Governance-Technologie-Cloud-und-Infrastruktur";".zip";"861184";"22.06.2020 08:26:00";"09.05.2020 00:43:00";"12.07.2024 17:59:00";"105";"5";""
"Invoice_2024_1001.tar.gz";"C:\share\Job2\GB-Finanzen-und-Verwaltung\People-und-Culture-HR-Operations\Employer-Branding-Karriereportal-Social-Media-Hochschulmarketing\Governance-Team-Richtlinien-Zertifizierungen-ISO-9001\Qualitaetssicherung-TISAX-Zertifizierung-2023-Pruefberichte-Massnahmenkatalog\BI-und-Reporting-Dashboards-KPIs-Forecasting-Sales-Dashboard";".gz";"861184";"15.12.2017 03:47:00";"13.11.2015 23:19:00";"15.02.2019 00:34:00";"356";"9";""
"HR_Onboarding_EMP001_Schneider.tar.gz";"C:\share\Job3\Bereich-IT-Operations\Data-und-Analytics-BI-KI-Governance";".gz";"860160";"25.08.2016 02:20:00";"14.04.2013 02:34:00";"07.07.2020 22:35:00";"109";"5";""
"Support_Case_CASE999_High.tar.gz";"C:\share\Job7\Abteilung-Office-Management\Abteilung-Office-Management-Technologie-Softwareentwicklung";".gz";"860160";"03.11.2025 16:20:00";"24.09.2025 11:39:00";"05.11.2025 19:04:00";"134";"5";""
"Operations_SOP_SOP045.zip";"C:\share\Job7\Abteilung-Recruiting\Betrieb-und-Projekte-Netzbetrieb";".zip";"860160";"11.11.2023 12:13:00";"25.10.2023 09:16:00";"20.01.2025 03:42:00";"93";"5";""
"Project_KAM-Alpha_Scope.zip";"C:\share\Job10\Team-QA-Automation\Sicherheit-IT-Security-Management";".zip";"858112";"11.01.2023 17:26:00";"25.05.2022 16:56:00";"28.05.2023 07:36:00";"95";"5";""
"IT_Ticket_TKT00123_Software.zip";"C:\share\Job10\Team-CRM\Technologie-Network-Engineering\Key-Account-Management-Grosskundenbetreuung-Weber-Industriebedarf\Kundenprojekt-Schmidt-AG-Anforderungsanalyse-Konzeption-Umsetzung-Design-Phase\Controlling-Kostenanalyse-Budgetkontrolle-2023-Q3\Threat-Intelligence-Analyse-Praevention-Awareness-Zero-Day-Exploit\Kunde-Weber-Industriebedarf-Vertragsunterlagen-2022-Anhang-Lizenzvertrag\Legal-Review-Team-Vertragspruefung-Dokumentation-Kaufvertrag";".zip";"858112";"25.09.2025 02:05:00";"10.07.2025 19:15:00";"25.10.2025 12:58:00";"483";"11";""
"PurchaseOrder_PO1001.tar.gz";"C:\share\Job2\Unternehmensarchitektur\Unternehmensarchitektur-Vertrieb-und-Marketing-Kampagnen";".gz";"857088";"29.12.2023 06:37:00";"23.10.2023 18:15:00";"27.07.2025 11:17:00";"122";"5";""
"Invoice_2024_1001.tar.gz";"C:\share\Job3\GB-Kundenerlebnis-und-Support\Finanzen-Finanzmanagement-Controlling";".gz";"857088";"03.06.2024 14:40:00";"19.11.2021 11:12:00";"07.01.2025 14:37:00";"106";"5";""
"Budget_Plan_HR_FY2025.tar.gz";"C:\share\Job4\Bereich-Marketing\People-und-Culture-Learning-und-Development";".gz";"857088";"21.05.2024 05:40:00";"04.02.2022 22:53:00";"29.05.2024 10:48:00";"104";"5";""
"Employee_Resume_Smith.tar.gz";"C:\share\Job6\Abteilung-Workforce-Management\Technologie-Softwareentwicklung";".gz";"856064";"13.07.2023 18:14:00";"31.05.2022 18:45:00";"28.05.2025 22:14:00";"105";"5";""
"Customer_Contract.tar.gz";"C:\share\Job5\Bereich-Digital-Transformation\Vertrieb-und-Marketing-Customer-Success";".gz";"855040";"10.03.2021 23:35:00";"30.11.2019 21:11:00";"17.07.2022 14:47:00";"109";"5";""
"Legal_Agreement_MSA_GlobalTech.tar.gz";"C:\share\Job10\Team-Recruiting-Ops\Technologie-Cloud-und-Infrastruktur";".gz";"855040";"19.07.2021 02:11:00";"11.10.2020 18:40:00";"11.01.2025 18:18:00";"108";"5";""
"Employee_Resume_Smith.zip";"C:\share\Job4\Bereich-Customer-Success\Technologie-Cloud-und-Infrastruktur";".zip";"854016";"03.05.2023 00:00:00";"20.04.2022 21:30:00";"16.05.2024 17:23:00";"100";"5";""
"Finance_Audit_2023_Q2.tar.gz";"C:\share\Job5\Abteilung-Process-Automation\People-und-Culture-Talent-Acquisition";".gz";"854016";"10.01.2021 21:33:00";"02.10.2016 11:29:00";"18.05.2025 17:46:00";"109";"5";""
"Employee_Fischer_Anna_Resume.tar.gz";"C:\share\Job4\Bereich-Talent-Acquisition\Data-und-Analytics-BI-KI-Governance";".gz";"851968";"08.09.2023 00:14:00";"23.08.2016 10:38:00";"01.11.2024 11:07:00";"112";"5";""
"RnD_Prototype_Neptune_beta.tar.gz";"C:\share\Job10\Team-Training\Finanzen-Rechnungswesen-und-Buchhaltung";".gz";"851968";"01.09.2020 14:48:00";"23.04.2020 22:53:00";"29.04.2025 08:58:00";"102";"5";""
"Customer_Contract.tar.gz";"C:\share\Job5\Abteilung-Project-Office\People-und-Culture-HR-Operations\Cloud-Infrastructure-Azure-Team-2020-Projekte\Product-Owners-Backlogpflege-Sprintplanung-Sprint-02\Archiv-Altdaten-2024-Quartal-Q1-Migration-Bereinigung\Marketing-Material-Black-Friday-2023-Medien-2021-Regionale-Anpassungen-Zentral\Cloud-Infrastructure-Azure-Team-2022-Projekte";".gz";"850944";"04.01.2024 15:53:00";"19.09.2022 13:20:00";"22.05.2024 07:51:00";"374";"10";""
"Meeting_Minutes_Planning_2024-12-20.zip";"C:\share\Job9\Team-Linux\Team-Linux-Betrieb-und-Projekte-Projektmanagement";".zip";"850944";"21.05.2023 15:56:00";"20.09.2022 20:27:00";"17.06.2023 20:37:00";"114";"5";""
"Contract_Addendum_CNT001_Final.tar.gz";"C:\share\Job7\Abteilung-Security-Operations\Abteilung-Security-Operations-Kundenerlebnis-Customer-Support";".gz";"849920";"11.10.2018 23:04:00";"20.03.2016 23:07:00";"20.01.2019 08:08:00";"143";"5";""
"PurchaseOrder_PO5678.tar.gz";"C:\share\Job4\Bereich-Marketing\People-und-Culture-Learning-und-Development";".gz";"847872";"15.07.2022 16:38:00";"07.11.2017 08:15:00";"15.10.2024 11:45:00";"103";"5";""
